Brand,Model,Location,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Mileage,Engine,Price
Maruti,Wagon R,Bangalore,2016,62000,Petrol,First,18.9 kmpl,998 CC,4.45
Volkswagen,Polo Petrol,Delhi,2010,62001,Petrol,First,15.26 kmpl,1598 CC,2.65
Hyundai,i20 1.4,Pune,2011,78958,Diesel,Second,23.0 kmpl,1396 CC,3.8
Hyundai,i20 Asta,Mumbai,2014,30180,Petrol,First,18.5 kmpl,1197 CC,4.65
Datsun,GO Plus,Pune,2017,32851,Petrol,First,19.83 kmpl,1198 CC,3.95
Audi,A4 3.0,Kolkata,2010,30000,Diesel,First,14.94 kmpl,2967 CC,9.8
Hyundai,i20 2015-2017,Pune,2009,66000,Petrol,Second,17.0 kmpl,1197 CC,2.7
Maruti,Omni 5,Coimbatore,2010,93850,Petrol,First,14.0 kmpl,796 CC,2.41
Toyota,Etios Liva,Ahmedabad,2014,53000,Petrol,First,17.71 kmpl,1197 CC,3.9
Jaguar,XF 3.0,Hyderabad,2011,78000,Diesel,Second,14.74 kmpl,2993 CC,24.0
Mahindra,XUV500 W8,Delhi,2012,65000,Diesel,Second,16.0 kmpl,2179 CC,5.75
Hyundai,Verna 1.6,Kolkata,2014,40000,Diesel,First,22.32 kmpl,1582 CC,5.25
Toyota,Innova Crysta,Mumbai,2017,30000,Diesel,First,11.36 kmpl,2755 CC,19.25
Maruti,Eeco 5,Coimbatore,2017,38053,Petrol,First,15.1 kmpl,1196 CC,3.91
Tata,Nano Twist,Bangalore,2014,25500,Petrol,First,25.4 kmpl,624 CC,2.15
BMW,3 Series,Mumbai,2015,56087,Diesel,First,22.69 kmpl,1995 CC,20.75
Honda,Civic 2006-2010,Delhi,2010,71088,Petrol,First,13.5 kmpl,1799 CC,3.35
Toyota,Innova 2.5,Ahmedabad,2014,55000,Diesel,First,12.99 kmpl,2494 CC,11.11
Volvo,V40 Cross,Bangalore,2014,32700,Diesel,First,23.3 kmpl,1984 CC,20.0
Nissan,Micra XV,Coimbatore,2016,39882,Petrol,First,19.15 kmpl,1198 CC,6.55
BMW,5 Series,Mumbai,2009,128000,Petrol,First,10.8 kmpl,2497 CC,7.0
Maruti,Vitara Brezza,Mumbai,2016,55000,Diesel,First,24.3 kmpl,1248 CC,7.5
Hyundai,Santro Xing,Mumbai,2005,102000,Petrol,Second,17.0 kmpl,1086 CC,0.85
Mercedes-Benz,B Class,Pune,2014,53753,Diesel,Second,15.0 kmpl,2143 CC,16.75
Hyundai,Verna CRDi,Kolkata,2018,10250,Diesel,First,22.0 kmpl,1582 CC,10.95
Maruti,Wagon R,Pune,2011,43874,Petrol,First,18.9 kmpl,998 CC,2.45
Tata,Nano XTA,Coimbatore,2017,32684,Petrol,First,21.9 kmpl,624 CC,3.23
Mahindra,Scorpio VLX,Kolkata,2014,42000,Diesel,First,12.05 kmpl,2179 CC,7.75
Mercedes-Benz,New C-Class,Kolkata,2009,28352,Petrol,First,11.7 kmpl,1796 CC,9.35
Maruti,Wagon R,Pune,2013,89900,CNG,First,26.6 km/kg,998 CC,3.25
Honda,CR-V 2.4,Bangalore,2007,47700,Petrol,Second,10.8 kmpl,2354 CC,5.25
Volkswagen,Vento 1.5,Pune,2015,55000,Diesel,First,21.21 kmpl,1498 CC,7.25
Maruti,Ciaz VXi,Kochi,2017,44285,Petrol,First,20.73 kmpl,1373 CC,7.47
Mahindra,XUV500 AT,Jaipur,2016,54000,Diesel,First,16.0 kmpl,2179 CC,13.25
Maruti,Ritz VXI,Coimbatore,2016,30232,Petrol,First,21.1 kmpl,1197 CC,5.81
Maruti,Alto K10,Hyderabad,2014,88500,Petrol,First,24.07 kmpl,998 CC,2.6
Mercedes-Benz,SLC 43,Kolkata,2017,13372,Petrol,First,19.0 kmpl,2996 CC,54.0
Hyundai,Verna VTVT,Kochi,2019,12645,Petrol,First,17.0 kmpl,1591 CC,11.5
Maruti,Alto LXi,Chennai,2010,94385,Petrol,Second,19.7 kmpl,796 CC,1.6
BMW,1 Series,Coimbatore,2015,31821,Diesel,First,20.58 kmpl,1995 CC,17.22
Honda,Jazz 1.2,Mumbai,2015,12000,Petrol,First,19.0 kmpl,1199 CC,6.0
Honda,Civic 2006-2010,Delhi,2012,88578,Petrol,First,13.5 kmpl,1799 CC,3.95
Mercedes-Benz,New C-Class,Kochi,2014,44965,Diesel,First,19.27 kmpl,2143 CC,17.95
Honda,Amaze SX,Kolkata,2014,45044,Diesel,First,25.8 kmpl,1498 CC,3.7
Maruti,Swift VVT,Kochi,2016,34204,Petrol,First,22.0 kmpl,1197 CC,5.43
Hyundai,Santro Xing,Kochi,2008,80759,Petrol,Third,17.0 kmpl,1086 CC,1.67
Toyota,Fortuner 3.0,Coimbatore,2012,91235,Diesel,First,11.5 kmpl,2982 CC,13.49
Chevrolet,Beat LT,Pune,2014,38800,Petrol,First,18.6 kmpl,1199 CC,2.85
Skoda,Rapid 1.5,Chennai,2013,83000,Diesel,First,21.14 kmpl,1498 CC,4.75
Maruti,Ciaz 1.4,Kochi,2018,41283,Petrol,First,20.73 kmpl,1373 CC,9.9
Audi,RS5 Coupe,Mumbai,2013,23000,Petrol,First,11.05 kmpl,2894 CC,37.0
BMW,3 Series,Mumbai,2014,48000,Diesel,First,21.76 kmpl,1995 CC,26.5
Audi,A4 2.0,Coimbatore,2015,48214,Diesel,First,17.11 kmpl,1968 CC,23.32
Maruti,Swift VDI,Chennai,2016,35000,Diesel,First,22.9 kmpl,1248 CC,6.25
Mercedes-Benz,S Class,Kolkata,2010,35277,Petrol,First,7.81 kmpl,5461 CC,30.0
Skoda,Rapid 1.5,Coimbatore,2016,54620,Diesel,First,21.66 kmpl,1498 CC,9.86
Skoda,Superb Elegance,Pune,2012,136997,Diesel,First,17.2 kmpl,1968 CC,8.5
Hyundai,EON Magna,Kochi,2019,14322,Petrol,First,21.1 kmpl,814 CC,4.23
Volkswagen,Polo Diesel,Jaipur,2012,65634,Diesel,First,22.07 kmpl,1199 CC,3.5
Datsun,GO NXT,Kolkata,2016,6000,Petrol,First,20.63 kmpl,1198 CC,2.5
Honda,Brio S,Kolkata,2013,33280,Petrol,First,19.4 kmpl,1198 CC,2.39
Mercedes-Benz,B Class,Delhi,2013,29000,Petrol,First,14.8 kmpl,1595 CC,11.25
Honda,City i,Kochi,2015,42831,Diesel,First,26.0 kmpl,1498 CC,7.11
Toyota,Innova 2.5,Ahmedabad,2016,90000,Diesel,First,12.99 kmpl,2494 CC,10.9
Maruti,Swift VXI,Ahmedabad,2017,24005,Petrol,First,20.4 kmpl,1197 CC,6.2
Mahindra,XUV500 W8,Mumbai,2012,32792,Diesel,First,15.1 kmpl,2179 CC,7.9
Ford,Ecosport 1.5,Kochi,2014,147898,Diesel,First,22.7 kmpl,1498 CC,4.42
Toyota,Fortuner 4x2,Mumbai,2012,131765,Diesel,First,13.0 kmpl,2982 CC,13.5
Volkswagen,Vento 1.5,Chennai,2013,65000,Diesel,First,21.5 kmpl,1498 CC,6.25
Ford,Figo Diesel,Jaipur,2010,66123,Diesel,Second,20.0 kmpl,1399 CC,2.1
BMW,X5 xDrive,Mumbai,2015,41000,Diesel,First,15.3 kmpl,2993 CC,45.0
Mercedes-Benz,New C-Class,Coimbatore,2017,23550,Diesel,First,19.27 kmpl,2143 CC,33.66
Honda,Brio V,Bangalore,2012,45000,Petrol,Second,19.4 kmpl,1198 CC,3.65
Hyundai,i10 Magna,Delhi,2013,60000,Petrol,First,20.36 kmpl,1197 CC,2.75
Mercedes-Benz,GLC 220,Bangalore,2016,44414,Diesel,First,17.9 kmpl,2143 CC,42.5
Hyundai,Grand i10,Kolkata,2019,1000,Petrol,First,18.9 kmpl,1197 CC,6.5
Audi,A6 2011-2015,Mumbai,2012,62500,Diesel,Second,17.68 kmpl,1968 CC,19.0
Volkswagen,Vento Petrol,Mumbai,2013,21000,Petrol,Second,14.4 kmpl,1598 CC,4.45
Mini,Countryman Cooper,Jaipur,2017,8525,Diesel,Second,16.6 kmpl,1998 CC,23.0
Hyundai,i20 Asta,Bangalore,2014,29000,Diesel,First,22.54 kmpl,1396 CC,8.35
Audi,A6 2011-2015,Mumbai,2014,40000,Diesel,First,17.68 kmpl,1968 CC,22.95
Chevrolet,Beat Diesel,Jaipur,2012,88000,Diesel,First,25.44 kmpl,936 CC,1.5
Skoda,Superb Elegance,Kochi,2012,53537,Petrol,First,13.7 kmpl,1798 CC,6.89
Ford,Fiesta 1.4,Chennai,2006,216000,Diesel,Second,17.8 kmpl,1399 CC,1.45
BMW,5 Series,Hyderabad,2014,51000,Diesel,First,22.48 kmpl,1995 CC,33.5
Chevrolet,Optra Magnum,Jaipur,2007,118500,Petrol,First,12.9 kmpl,1598 CC,1.25
Volkswagen,Polo Diesel,Hyderabad,2012,63000,Diesel,First,22.07 kmpl,1199 CC,4.2
Renault,Lodgy 110PS,Mumbai,2015,25000,Diesel,First,19.98 kmpl,1461 CC,6.75
Mercedes-Benz,E-Class E250,Bangalore,2014,37382,Diesel,First,13.0 kmpl,2143 CC,32.0
Maruti,Baleno Alpha,Kochi,2017,24773,Petrol,First,21.4 kmpl,1197 CC,7.5
Hyundai,Verna 1.6,Delhi,2012,62000,Diesel,First,22.32 kmpl,1582 CC,4.6
Hyundai,i10 Magna,Kochi,2017,52340,Petrol,First,19.81 kmpl,1086 CC,4.04
Mahindra,Scorpio 1.99,Kochi,2016,56739,Diesel,First,15.4 kmpl,1997 CC,10.31
Land,Rover Range,Coimbatore,2018,36091,Diesel,First,12.7 kmpl,2179 CC,55.76
Ford,Figo Diesel,Chennai,2010,120000,Diesel,First,20.0 kmpl,1399 CC,2.6
Maruti,Ertiga ZDI,Mumbai,2016,33000,Diesel,First,25.47 kmpl,1248 CC,8.5
Honda,City 1.5,Ahmedabad,2007,60006,Petrol,First,0.0 kmpl,,2.95
Honda,Amaze S,Kolkata,2014,52000,Diesel,First,25.8 kmpl,1498 CC,3.5
Hyundai,i10 Magna,Jaipur,2015,43571,Petrol,First,20.36 kmpl,1197 CC,3.55
Honda,Amaze S,Kolkata,2013,50000,Diesel,First,25.8 kmpl,1498 CC,3.25
Skoda,Laura Ambiente,Hyderabad,2008,113000,Diesel,First,17.5 kmpl,1896 CC,4.5
Renault,Duster 85PS,Delhi,2014,90000,Diesel,First,19.87 kmpl,1461 CC,5.35
Mahindra,NuvoSport N6,Chennai,2017,29000,Diesel,Second,17.45 kmpl,1493 CC,6.5
Maruti,Vitara Brezza,Mumbai,2016,20000,Diesel,First,24.3 kmpl,1248 CC,9.0
Hyundai,i20 Asta,Kochi,2016,61012,Petrol,First,18.6 kmpl,1197 CC,6.0
Skoda,Fabia 1.4,Jaipur,2009,87459,Petrol,First,14.7 kmpl,1390 CC,2.75
Tata,Indigo eCS,Pune,2010,70500,Petrol,First,15.64 kmpl,1193 CC,1.5
Audi,Q3 2012-2015,Delhi,2015,64103,Diesel,First,15.73 kmpl,1968 CC,19.9
Skoda,Octavia Elegance,Mumbai,2014,76000,Petrol,First,14.7 kmpl,1798 CC,10.0
Toyota,Etios Liva,Delhi,2014,104000,Diesel,First,23.59 kmpl,1364 CC,3.0
Maruti,Swift 1.3,Kolkata,2010,42001,Petrol,First,16.1 kmpl,,2.11
Mercedes-Benz,B Class,Kochi,2014,37245,Petrol,First,14.8 kmpl,1595 CC,11.96
Honda,Amaze S,Kolkata,2013,45000,Diesel,First,27.4 kmpl,1498 CC,3.25
Hyundai,Verna 1.6,Jaipur,2012,117837,Diesel,Second,22.32 kmpl,1582 CC,4.75
Renault,Duster 85PS,Mumbai,2014,30000,Diesel,First,20.46 kmpl,1461 CC,5.95
Hyundai,Creta 1.6,Delhi,2015,27057,Petrol,Second,15.29 kmpl,1591 CC,8.15
Maruti,Wagon R,Mumbai,2016,8500,Petrol,First,20.51 kmpl,998 CC,4.22
Mercedes-Benz,New C-Class,Kolkata,2010,30500,Petrol,First,11.74 kmpl,1796 CC,10.5
Audi,A8 L,Delhi,2012,56000,Diesel,First,11.8 kmpl,2967 CC,45.0
Hyundai,i10 Magna,Pune,2012,44000,Petrol,Second,19.81 kmpl,1086 CC,2.9
Skoda,Rapid 1.6,Mumbai,2017,10500,Petrol,First,14.3 kmpl,1598 CC,8.9
Skoda,Superb Style,Hyderabad,2017,26000,Petrol,First,14.67 kmpl,1798 CC,26.0
Hyundai,i20 Active,Coimbatore,2018,25166,Petrol,First,17.19 kmpl,1197 CC,8.22
Honda,Amaze VX,Kolkata,2014,64000,Diesel,Second,25.8 kmpl,1498 CC,3.5
Maruti,Wagon R,Chennai,2004,61000,Petrol,Second,18.9 kmpl,998 CC,1.25
Mahindra,Verito 1.5,Hyderabad,2013,107000,Diesel,First,21.03 kmpl,1461 CC,3.7
Mercedes-Benz,New C-Class,Coimbatore,2018,29161,Diesel,First,19.27 kmpl,2143 CC,39.41
Maruti,Wagon R,Kolkata,2013,32000,Petrol,First,22.5 kmpl,998 CC,2.65
Nissan,Terrano XV,Coimbatore,2015,46173,Diesel,Second,19.01 kmpl,1461 CC,8.92
Maruti,Swift VDI,Delhi,2013,47000,Diesel,First,17.8 kmpl,1248 CC,4.1
Mini,Cooper Convertible,Kochi,2017,26327,Petrol,First,16.82 kmpl,1998 CC,35.67
Ford,Figo Diesel,Bangalore,2015,70436,Diesel,First,0.0 kmpl,1498 CC,3.6
Tata,Indica V2,Jaipur,2007,200000,Diesel,Second,17.2 kmpl,1396 CC,0.85
Chevrolet,Beat LT,Kochi,2016,60813,Petrol,Second,18.6 kmpl,1199 CC,3.32
Volkswagen,Polo Diesel,Mumbai,2012,45000,Diesel,First,22.07 kmpl,1199 CC,3.6
Maruti,Swift ZDi,Hyderabad,2016,64000,Diesel,First,22.9 kmpl,1248 CC,6.8
Ford,Figo Diesel,Kolkata,2012,41284,Diesel,First,20.0 kmpl,1399 CC,2.5
Toyota,Innova Crysta,Kochi,2019,14165,Diesel,First,11.36 kmpl,2755 CC,19.64
Hyundai,Santa Fe,Mumbai,2011,67000,Diesel,Second,11.72 kmpl,2199 CC,7.0
Honda,City i-VTEC,Kolkata,2011,32572,Petrol,First,17.4 kmpl,1497 CC,3.87
Hyundai,i20 1.2,Kochi,2018,14960,Petrol,First,18.6 kmpl,1197 CC,6.27
Mercedes-Benz,New C-Class,Kochi,2015,55980,Diesel,First,19.27 kmpl,2143 CC,18.12
Chevrolet,Beat Diesel,Mumbai,2013,74000,Diesel,First,25.44 kmpl,936 CC,2.65
Hyundai,i20 Sportz,Kochi,2015,56847,Diesel,First,22.54 kmpl,1396 CC,7.2
Toyota,Innova 2.5,Coimbatore,2015,121374,Diesel,First,12.99 kmpl,2494 CC,14.3
Maruti,Ertiga VDI,Chennai,2013,52000,Diesel,First,20.77 kmpl,1248 CC,6.9
Toyota,Innova 2.5,Mumbai,2014,118000,Diesel,First,12.8 kmpl,2494 CC,10.75
Hyundai,Santro Xing,Mumbai,2007,72000,Petrol,Third,17.0 kmpl,1086 CC,0.95
Honda,City i,Kochi,2016,33915,Petrol,First,17.8 kmpl,1497 CC,8.09
BMW,X1 sDrive20d,Ahmedabad,2014,82002,Diesel,First,17.05 kmpl,1995 CC,18.5
Hyundai,Grand i10,Mumbai,2017,33000,Diesel,First,24.0 kmpl,1120 CC,4.75
Maruti,Ciaz 1.3,Chennai,2016,34000,Diesel,First,28.09 kmpl,1248 CC,8.45
Skoda,Rapid Leisure,Kolkata,2012,55000,Diesel,First,20.5 kmpl,1598 CC,3.5
Hyundai,Accent CRDi,Kochi,2006,160538,Diesel,First,13.1 kmpl,1493 CC,1.8
Volkswagen,Polo GT,Jaipur,2014,60000,Diesel,Second,19.91 kmpl,1498 CC,3.7
Honda,Jazz 1.2,Coimbatore,2017,49575,Petrol,First,18.7 kmpl,1199 CC,7.17
Hyundai,i10 Era,Jaipur,2010,83000,Petrol,First,19.81 kmpl,1086 CC,1.75
Hyundai,Tucson 2.0,Kochi,2018,51346,Diesel,First,16.38 kmpl,1995 CC,21.99
Toyota,Innova Crysta,Pune,2017,43000,Diesel,First,13.68 kmpl,2393 CC,18.65
Maruti,Omni MPI,Jaipur,2011,35000,Petrol,Third,19.7 kmpl,796 CC,1.85
Maruti,Swift VXI,Coimbatore,2017,27872,Petrol,Second,20.4 kmpl,1197 CC,5.95
Hyundai,Grand i10,Mumbai,2014,16514,Petrol,First,18.9 kmpl,1197 CC,3.75
Maruti,Swift VDI,Pune,2012,120000,Diesel,First,22.9 kmpl,1248 CC,3.75
Hyundai,Verna CRDi,Hyderabad,2008,143275,Diesel,First,22.0 kmpl,1582 CC,2.6
Hyundai,Santro Xing,Hyderabad,2006,99000,Petrol,First,0.0 kmpl,1086 CC,1.75
Hyundai,i20 1.2,Mumbai,2010,52000,Petrol,First,17.0 kmpl,1197 CC,2.8
Mercedes-Benz,GLE 350d,Coimbatore,2017,29819,Diesel,First,11.57 kmpl,2987 CC,61.29
Mercedes-Benz,New C-Class,Bangalore,2014,57000,Diesel,Second,15.8 kmpl,2148 CC,18.0
Maruti,Ritz ZDi,Hyderabad,2014,88500,Diesel,First,23.2 kmpl,1248 CC,4.35
Hyundai,Creta 1.6,Bangalore,2016,28000,Diesel,First,19.67 kmpl,1582 CC,13.75
Maruti,A-Star Vxi,Pune,2010,67000,Petrol,First,19.0 kmpl,998 CC,2.0
Renault,Duster 110PS,Delhi,2016,26000,Diesel,First,19.64 kmpl,1461 CC,10.0
Fiat,Grande Punto,Delhi,2010,120000,Diesel,First,17.8 kmpl,1248 CC,1.65
BMW,X3 xDrive30d,Coimbatore,2017,51982,Diesel,First,16.55 kmpl,2993 CC,45.77
Hyundai,i10 Sportz,Bangalore,2010,36000,Petrol,Second,20.36 kmpl,1197 CC,3.25
Toyota,Innova 2.5,Pune,2016,47000,Diesel,First,12.8 kmpl,2494 CC,12.8
